titre,entreprise,localite,categorie,date_publication,date_expiration,description,email,lien
Chargé de communication,gmail,SALY (MBOU...,"Marketing, Communication | Organisation non gouvernementale, Association | Communication, Marketing, Médias",N/A,N/A,"À propos de nousL’association ALEFS intervient à SALY / MBOURl dans les domaines de l’éducation et de l’accompagnement des enfants et des femmes vulnérables.Forte de plusieurs années d’engagement et d’actions concrètes sur le terrain, ALEFS souhaite aujourd’hui renforcer sa communication pour :-mieux valoriser ses actions,-développer sa visibilité,-structurer ses outils,-et préparer des partenariats avec des acteurs institutionnels.Le posteNous recrutons un(e) Chargé(e) de communication opérationnel(le) capable de produire, organiser et diffuser les contenus de communication de l’association.-Il s’agit d’un poste très concret, orienté action, avec un impact direct sur la visibilité de l’association.-Vos missions-Communication quotidienne (priorité)Mettre à jour le site internet (WordPress)Rédiger des articles à partir des activités terrainAnimer les réseaux sociaux (Facebook, Instagram, TikTok)Élaborer et suivre un calendrier éditorialCréer des visuels simples (Canva)Réaliser de courtes vidéos (30 à 90 secondes)Participer à la diffusion d’une newsletter trimestrielleOrganiser les contenus (photos, vidéos, documents)-Objectif: remettre en place une communication régulière, structurée et fiable-Structuration des supports-Harmoniser les documents institutionnels (plaquette, supports, etc.)-Organiser une banque d’images et de vidéos-Mettre en forme les rapports d’activité-Appuyer la rédaction de projets et dossiers-Adaptation des contenusVous adaptez la communication selon les publics :Parrains et bénévolesDonateursGrand publicFuturs bénévoles / stagiairesPartenaires institutionnels-Profil recherchéIndispensable :Expérience antérieure de 5 ans en entreprise ou associationExcellente rédaction en françaisBonne maîtrise des réseaux sociauxConnaissance de WordPressMaîtrise de Canva (ou équivalent)Capacité à faire des montages vidéo simplesOrganisation, autonomie et rigueurBonne maîtrise des outils bureautiquesAtouts supplémentaires :Expérience dans une ONG ou associationConnaissance du contexte sénégalaisSensibilité aux enjeux sociauxMaîtrise de DropboxNotions d’anglais-Conditions-CDD de 6 mois renouvelable-Temps plein privilégié (¾ temps partiel possible)-Télétravail partiel avec présence à Saly (minimum 2 jours/semaine)-Rémunération selon profil et expérience-Évaluation à 6 mois-Pourquoi rejoindre ALEFS ?Un poste utile et concret, avec un impact directUne association reconnue localementUne grande autonomie dans le travailUne mission porteuse de sens",alefsenegal@gmail.com,https://senjob.com/sn/jobseekers/chargé-de-communication_e_161258.html
Agents distributeur,N/A,zone rural...,"Marketing, Communication | Services et Prestations aux Entreprises | Distribution, Commerce, Import-Export",N/A,N/A,"A propos de nous :SamaMbey SUARL est une entreprise sociale évoluant dans le domaine agricole.Nous intervenons dans de nombreuses régions du Sénégal. Sama Mbey vise à améliorer les conditions de vie des petits producteurs en milieu rural et veut les aider à sortir de la pauvreté.Chez SamaMbey les petits agriculteurs peuvent se financer s'ils ont le bon outil pour payer petit à petit en avance pour les intrants. Notre vision et objectif à travers notre Étoile polaire sont de travailler avec 1 million de petits producteurs à l’horizon 2026. En plus, SamaMbey Suarl s’engage dans le domaine du développement communautaire en menant  des actions de sensibilisation en nutrition, santé et hygiène.Intitulé du poste :Agent distributeurLocalisation :La prestation se déroulera en milieu rural, dans les zones d'intervention de Sama Mbey, réparties sur trois régions administratives du Sénégal : Matam  Bakel, Hamady Ounare, Matam, Thilogne Kolda    Dabo, Bourocco,Kounkane, Médina Yoro Foula, Tanaff, Vélingara Sédhiou / Ziguinchor Bignona, Bounkiling, Diattacounda, Marsassoum, Médina WandifaNombre de postes:36Type de contrat:Prestation de serviceRôles et responsabilitésLes agents distributeurs auront pour missions :1. VENTE & MOBILISATION- Développement commercial- Assister l'équipe de vente dans l'atteinte des objectifs de paquets finis- Réviser l'outil « Constitution de paquet 2026 » pour le maîtriser- Organiser les intrants selon l'outil de déchargement/chargement- Préparer des lots de paquets en avance- Assister à la formation distributeur organisée par le FC de la zone- Expliquer le contenu de chaque paquet au client- S'assurer que chaque client confirme avoir reçu 100 % des éléments inclus dans son paquet livré- Organiser les intrants restants pour assurer le chargement rapide du camion- Appuyer le chargement des intrants restants- Prospecter activement de nouveaux clients et fidéliser les producteurs existants2. LIVRAISON & SUIVI LOGISTIQUE- Gestion opérationnelle des livraisons- Être présent sur le site de livraison du début à la clôture.- Remplir les bordereaux de livraison.- Effectuer le décompte des paquets en début et fin de journée, et reporter les chiffres sur le bordereau.Cette liste n’est pas exhaustive, ces activités peuvent être adaptées aux besoins spécifiques de Sama Mbey, ainsi qu’aux objectifs et ressources disponibles.Compétences requises1. SAVOIR-FAIRE (Compétences techniques)- Expérience en vente et mobilisation communautaire en milieu rural.- Capacité à gérer des opérations logistiques (décomptes, bordereaux).- Connaissance du secteur agricole  (un atout).2. SAVOIR-ÊTRE (Qualités personnelles)- Force de persuasion : Capacité à convaincre les producteurs et motiver les VEs.- Rigueur et organisation : Respect strict des procédures de livraison et de reporting.- Autonomie et réactivité : Capacité à travailler en zone rurale avec des contraintes logistiques.- Esprit d’équipe : Collaboration étroite avec les VEs et le staff Sama Mbey.Autres compétences souhaitées:- Flexible : Sama Mbey est une organisation en pleine croissance qui se caractérise par des changements réguliers;- Humble : la personne est capable de partager ses connaissances tout en étant à l'écoute des défis des producteurs;- Efficace et proactif: la personne sait faire preuve d’autonomie et de créativité afin d’organiser ses activités;- Orienté vers l’action : la personne sait analyser les données et interpréter les chiffres afin de proposer et de développer des actions;- Ouvert aux retours constructifs.Le candidat idéal doit:- Avoir une expérience professionnelle antérieure dans le domaine du coaching/développement des compétences;- Être originaire de la zone pour laquelle il postule (myAgro recrute à travers plusieurs zones);Profil recherché- Minimum niveau Bac avec une expérience probante en agronomie, en développement communautaire ou dans un autre domaine connexe;- 1 an d’expérience prouvée et vérifiée en tant que agent de terrain;- Capacité à se focaliser sur l’atteinte des résultats;- Excellentes compétences en communication et en travail d’équipe,- Maîtrise orale et écrite, en français et wolof, mandingue, poular (selon la zone);- La connaissance d’autres langues locales est considérée un atout;- Maîtrise de l’outil informatique.Sama Mbey est un employeur garantissant l'égalité des chances. Nous célébrons la diversité et nous nous engageons à créer un espace inclusif permettant à tous les employés de se sentir valorisés pour leurs compétences, leurs expériences et leur point de vue unique. Sama Mbey offre des opportunités d'emploi égales à tous les employés et candidats sans distinction de race, de couleur, de religion, d'orientation sexuelle, de statut matrimonial/parental, d'origine nationale, d'âge, de handicap, d'opinion politique, de statut social, de statut d'ancien combattant, de génétique ou de toute autre base protégée par la loi applicable.",N/A,https://senjob.com/sn/jobseekers/agents-distributeur_e_161306.html
15 Monteurs chapiteaux,N/A,Dakar,"Maintenance, Entretien, Contrôle | Industrie Automobile, Mecanique, Navale",2026-04-17,2026-05-02,"AMD Corporate recrute pour le compte de l’un de ses clients et vous offre l’opportunité de rejoindre une équipe dynamique et engagée.Vous êtes motivé(e), rigoureux (se) et prêt(e) à relever de nouveaux défis ? Cette opportunité est faite pour vous !",N/A,https://senjob.com/sn/jobseekers/15-monteurs-chapiteaux_e_161416.html
Agents de climatisation,N/A,Dakar,"Maintenance, Entretien, Contrôle | Services aux Personnes, Particuliers",2026-04-16,2026-05-01,"AMD Corporate recrute pour le compte de l’un de ses clients et vous offre l’opportunité de rejoindre une équipe dynamique et engagée.Vous êtes motivé(e), rigoureux (se) et prêt(e) à relever de nouveaux défis ? Cette opportunité est faite pour vous !",N/A,https://senjob.com/sn/jobseekers/agents-de-climatisation_e_161414.html
Assistant aux opérations financières,N/A,Dakar,"Comptabilité, Finances, Gestion | Banque, Assurance, Finances",2026-04-16,2026-05-01,"A Finance Operations Clerk is primarily responsible for posting various financial transactions to the general ledger and reconciling accounts.  In addition, the Finance Operations Clerk will prepare various reports by codifying and cleaning data reports to then post these Journal Entries into the system.  This position will also be required to assist with different Finance Operations tasks from time to time.Expectations:•	Self-driven•	Possess a desire to learn and be challenged•	Maintain a positive attitude and be able to adapt to changes•	Strong work ethic and detail oriented.Job Duties:•	Posting Financial Transactions to the general ledgers•	Validate Deposits images based on provided guidelines and provide provisional ad hocs•	Obtain documentation to support the posting of financial transactions•	Prepare various posting reports as required•	Cross train on other accounting duties and provide backup to all team functions•	Support special projects as assignedJob RequirementsKnowledge:•	Bachelor’s degree in accounting or 1+ years accounting experience is required•	Must understand how to use a general ledger•	Understanding banking processes is a plusSkills:•	Excellent verbal and written communication skills•	Strong time management skills with the ability to multi-task•	Must be detail oriented•	Demonstrated proficiency in Word and Excel 80% or higher•	Ability to interact with all levels of employees within the Company•	Ability to quickly learn new systems•	Bilingual – English/SpanishExperiences:•	1+ years of experience in financial accounting as well as a good level of expertise in Microsoft Excel in creating Pivot Table, Dashboards and Scorecards, working with Formulas etc. its required",N/A,https://senjob.com/sn/jobseekers/assistant-aux-opérations-financières_e_161412.html
Support Quality & Training Lead,N/A,Dakar,"Qualité, Sécurité, Environnement | Banque, Assurance, Finances",2026-04-16,2026-05-01,"We’re making Africa the first cashless continent.In 2017, over half the population in Sub-Saharan Africa had no bank account. That’s for good reason—the fees are too high, the closest branch can be miles away, and nobody takes cards. Without access to financial institutions, people are forced to keep their savings under the mattress. Small business owners rely on lenders who charge extortionate rates. Parents spend hours waiting in line to pay school fees in cash.We’re solving this by building financial services that just work: no account fees, instantly available, and accepted everywhere. In places where electricity, water and roads don’t always work, you can still send money with Wave. In 2017, we launched a mobile app in Senegal for cash deposit, withdrawal, and peer-to-peer and business payments. Now, we have millions of users across 9 countries and are growing fast.Our goal is to make Africa the first cashless continent and that’s where you come in…How you’ll help us achieve itAre you passionate about developing people with an obsession to offer world-class customer experience? We are going through a fascinating period of growth in the Customer Support team and are looking for a Support Quality & Training Lead to join our thrilling journey ahead.You will be responsible for managing a team of more than 15 Support Quality & Training Officers, focusing on the Customer Service department processes. Your goal is to ensure that all customer contacts align with our values and deliver the best customer experience.In this role, you’ll:•	Manage and update knowledge management systems in line with quality standards, protocols, product, and process changes.•	Document and provide guidance on new and existing processes and standards within the Customer Service department.•	Create and deliver training materials, ensuring materials are recorded and accessible.•	Develop analytical reports linking quality performance with customer satisfaction, complementing regular reporting and sharing insights with relevant managers.•	Collaborate across departments for projects and training initiatives.•	Execute the Quality Framework alongside Quality & Training Officers, ensuring quality results meet expectations.•	Lead, support, guide, and develop the Quality & Training Officers reporting to you.Key details•	Location: Dakar.•	Contract type: Permanent.•	Work authorization in Senegal is required.•	Our salaries are competitive and calculated using a transparent formula. We run performance reviews twice a year and award bonuses to strong performers who have been with the company for more than 6 months.•	We offer generous health insurance for yourself and your dependents.•	We support working parents – we offer generous parental leave policies (26 weeks for mothers and 4 weeks for fathers) and subsidized child care when you return to work.•	We help you live your fullest life now! We subsidize gym memberships and fitness classes.•	Airtime reimbursement.•	Free food and a beautiful office space.Requirements•	Fluency in French and English.•	A Bachelor’s degree.•	5 years of experience in customer service or call centre operations, with at least 3 years of experience in a leadership coaching position.•	Strong knowledge of customer service processes.You might be a good fit if you•	You can discern priority tasks.•	Demonstrate tenacity and a willingness to go the distance to get something done.•	Are comfortable defaulting to over-communication and overreaching in coordination.•	Are excessively detail-oriented and seek to achieve excellence in everything you do.•	Are client-oriented and have strong interpersonal skills.•	Ability to schedule training sessions via Zoom or Google Meet tools.•	Are a diplomatic speaker.•	Have a teamwork spirit.•	Are available every day of the week, including weekends, if necessary.•	You have significant experience training large teams.",N/A,https://senjob.com/sn/jobseekers/support-quality---training-lead_e_161411.html
Assistante Direction,N/A,Dakar,"Assistanat, secrétariat, Accueil | Service public d'état, Institutions, Administratio",2026-04-16,2026-05-01,"Dans le cadre du renforcement de notre équipe, nous recrutons une Assistante de Direction.Missions principales :•	Assurer la coordination entre les différents services•	Gérer l’agenda et les priorités de la direction•	Organiser les réunions et assurer le suivi des dossiers•	Rédiger des comptes rendus et documents administratifs•	Faciliter la communication interne et externeProfil recherché :•	Minimum 5 ans d’expérience à un poste similaire•	Excellentes capacités organisationnelles et de coordination•	Très bonne maîtrise des outils bureautiques•	Excellente maîtrise du français, à l’oral comme à l’écrit (élocution irréprochable)•	Sens de la discrétion, rigueur et professionnalismeQualités requises :•	Autonomie•	Réactivité•	Bon relationnel",N/A,https://senjob.com/sn/jobseekers/assistante-direction_e_161410.html
Télévendeurs en conquête mobile/marché français,N/A,Dakar,"Téléservices, Télévente, Service client | Distribution, Commerce, Import-Export",2026-04-16,2026-05-01,"Désormais solidement implanté au Sénégal, Shy-Performance, afin de consolider son effectif et passer à d’autres projets, recrute les profils avec:•	Une expérience en télévente (appels sortants – au moins 6 mois dans la conquête)•	Une parfaite maîtrise de la langue française, avec une bonne capacité communicationnelle et d’écoute active•	Une bonne maitrise des techniques de vente et de traitement des objections?•	Un goût du challenge et du dépassement des défis•	Une bonne capacité à travailler en équipeVous bénéficierez entre autres:•	D’un CDD d’emblée! Pas de prestation de services à SHY Performance•	D’un salaire TRES attractif et compétitif!•	D’une perspective d’évolution priorisée en interne!!!•	D’une prime de performance déplafonnée!!!!•	Sans compter une couverture maladie pour vous et vos proches à hauteur de 80% même durant votre période de formation!!!!!",N/A,https://senjob.com/sn/jobseekers/télévendeurs-en-conquête-mobile-marché-français_e_161409.html
Community Manager / Infographiste,N/A,Dakar,"Marketing, Communication | Communication, Marketing, Médias",2026-04-16,2026-05-01,AMD Corporate recrute un Community Manager / Infographiste.,N/A,https://senjob.com/sn/jobseekers/community-manager---infographiste_e_161408.html
Stagiaire infographe,N/A,Dakar,"Création, Design, Graphisme | Communication, Marketing, Médias",2026-04-16,2026-05-01,"Kpay recrute un(e) stagiaire infographe !Tu es créatif(ve), rigoureux(se) et passionné(e) par le design ?Rejoins notre équipe et travaille sur des projets concrets (cartes PVC, supports visuels, branding…).",N/A,https://senjob.com/sn/jobseekers/stagiaire-infographe_e_161407.html
Commercial – Markerting,N/A,Dakar,"Commercial, Vente, Business developpement | Communication, Marketing, Médias | Distribution, Commerce, Import-Export",2026-04-16,2026-05-01,"Dans le cadre du développement de ses activités, La société AFRIOCEAN SARL spécialisée dans transformation et l’exportation des produits halieutique, recrute un commercial marketing.Missions :•	Développer la présence des produits en grande distribution (supermarchés, supérettes)•	Prospecter et intégrer de nouveaux points de vente dans les réseaux traditionnels (boutiques, marchés, revendeurs)•	Assurer le suivi des clients et fidéliser le portefeuille existant•	Négocier les conditions commerciales et référencements produits•	Veiller à la bonne visibilité des produits en rayon (merchandising)•	Suivre les ventes, remonter les informations terrain et proposer des actions d’amélioration.Profil recherché :•	Homme dynamique, rigoureuse et orientée résultats•	Expérience en vente terrain, idéalement en agroalimentaire ou grande distribution•	Très bon sens de la négociation et relationnel client•	Autonome, organisée avec un esprit d’initiative•	Bonne connaissance des circuits de distribution à DakarConditions :•	BTS (bac+2) et/ou Licence (bac+3) en Marketing/Commerce/Gestion d’entreprise ou dans tout autre domaine similaire.•	2 à 4 ans d’expérience dans le domaine•	Avoir un permis de conduire",N/A,https://senjob.com/sn/jobseekers/commercial-–-markerting_e_161405.html
Conjoncturiste,N/A,Dakar,"Administration, Services généraux | Banque, Assurance, Finances",2026-04-16,2026-05-01,"Missions•	Chargé de la stratégie de la politique monétaire : Assurer la collecte et l’analyse des informations nécessaires à la définition de la politique monétaire par le Comité de Politique Monétaire.•	Chargé de la mise en œuvre de la politique monétaire : Assurer la collecte et l’analyse des données en vue de la formulation des propositions de mesures de régulation de la liquidité bancaire.•	Chargé du suivi des programmes économiques des Etats : Assurer le suivi des programmes économiques et financiers des Etats, en particulier le suivi de l’exécution des programmes économiques et financiers appuyés par les Institutions de Bretton Woods.•	Chargé des centrales d’information : Identifier et analyser les risques bancaires, à travers la gestion des centrales d’informations.•	Chargé des secteurs monétaire et finances publiques : Assurer la production et l’analyse des statistiques monétaires ainsi que celles des finances publiques et de la dette.•	Conjoncturiste : Suivre et analyser la conjoncture économique et les prix, en vue de réaliser des notes et études sur la situation et les perspectives économiques.Critères d’éligibilité•	Etre ressortissant d’un Etat membre de l’UMOA ;•	Jouir de ses droits civiques et être de bonne moralité ;•	Etre âgé de 18 ans au moins et de 40 ans au plus.Profil requis•	Être titulaire d’un diplôme de niveau BAC+5 en Économie, Statistique ou Économétrie ;•	Avoir au minimum 2 ans d’expérience professionnelle pertinente dans des Structures privées, étatiques ou internationales, à des postes en lien avec le domaine de l’économie ou de la statistique.Pour postuler, les candidats doivent produire un curriculum vitae (CV) indiquant notamment :•	la date de naissance ;•	la nationalité ;•	les périodes exactes des expériences professionnelles (date début et date fin) ainsi qu’un résumé des activités prises en charge ;•	le type de contrat pour chaque expérience (CDD, CDI, Consultance, Stage, etc.) ;•	la liste de tous les diplômes y compris le Baccalauréat, en précisant la date d’obtention, l’établissement de formation et la spécialité de chaque diplôme.Après avoir téléchargé son CV, le candidat doit obligatoirement renseigner le questionnaire qui lui est automatiquement soumis.",N/A,https://senjob.com/sn/jobseekers/conjoncturiste_e_161404.html
Health and Safety Adviser,N/A,Dakar,"Santé, Médical, Pharmacie, Sport | Santé, Social, Sport",2026-04-16,2026-05-01,"Summary :•	To continuously monitor behaviour/actions against the Risk Assessment and Rules, and to apply “Educate to Improve” Internal Process to :•	Observe and challenge non-compliant behaviour (an “Incident”) in a positive manner•	Educate staff on the required compliant behaviour (the “Rule”)•	Address non-compliant behaviour against the Risk Assessment and Rules.•	To report any observed behaviour that may result in harm that is not currently included in the Risk Assessment and Rules to both the Senior Managers and the Health and Safety Manager (an “Incident”) so that the Risk Assessment Rules can be updated and staff trained.•	To praise staff (a “Safe Observation”) who are observed complying with the Risk Assessment and Rules.•	Manage the working conditions of staff within both Senegalese law and company policy•	To ensure compliance with the company safe working procedure and risk assessments•	To provide advice to managers providing the technical information/solution has been agreed and confirmed with the Health and Safety Manager.•	Comply with Senegalese legislation and UK best practise in health and safetyObjectives :•	Achieve the highest standards of Health & Safety within all operations•	To complete operations in a timely, efficient manner and to program within our health and safety standard•	Drive Team Work and development,•	Communicate effectively with the team through safety conversation•	Maximise efficiency of resources by reducing the risk and minimize risks for accident•	Update risk assessment and safe working procedures making sure all up to date•	Other responsibilities :•	Lead by example to ensure good co-ordination and co-operation between teams around a strong and focussed health and safety culture•	Field inspection and checks on all business operations and ensure compliance with health and safety procedures•	Support an understanding and philosophy amongst staff in achievement of high standards of health and safety and working in a safe manner•	Develop good relations with the local community and show due regard for all staff issues",N/A,https://senjob.com/sn/jobseekers/health-and-safety-adviser_e_161403.html
Commis de Cuisine,N/A,Dakar,"Métiers Hôtellerie, Tourisme, Restauration, Loisirs | Tourisme, Hôtellerie, Loisirs, Restauration",2026-04-16,2026-05-01,"Nous recrutons un commis de cuisine pour un groupe de deux restaurants bien établis et constituant des lieux emblématiques à Dakar. Il ou elle sera rattaché(e) au chef cuisinier.Missions :Sous la supervision du Chef de cuisine, vous serez en charge de :•	Assister à la préparation des plats dans le respect des standards de qualité•	Préparer les ingrédients (lavage, découpe, pesée)•	Participer à la préparation de la pâte à pizza•	Garnir les pizzas selon les recettes établies•	Participer à la mise en place (préparations, dressage, organisation du poste)•	Veiller au respect des recettes et des fiches techniques•	Contribuer au bon déroulement du service en cuisine•	Assurer la propreté et l’hygiène du poste de travail•	Respecter les normes d’hygiène et de sécurité alimentaire•	Participer à la réception et au stockage des marchandises•	Aider au nettoyage avant et après le serviceProfil :•	Formation en cuisine (CAP / BEP ou équivalent souhaité)•	Expérience en tant que commis de cuisine exigée•	Expérience en préparation de pizzas (pizzaiolo)•	Bonne connaissance des techniques culinaires de base•	Maîtrise des normes d’hygiène et de sécurité alimentaire•	Rapidité et efficacité•	Rigueur et sens de l’organisation•	Esprit d’équipe•	Capacité à travailler sous pression•	Dynamisme et motivation",N/A,https://senjob.com/sn/jobseekers/commis-de-cuisine_e_161402.html
Responsable Atelier Mécanique,N/A,Diamniadio,"Maintenance, Entretien, Contrôle | Industrie Automobile, Mecanique, Navale",2026-04-16,2026-05-01,"•	Entreprise : ACFI•	Lieu : Zone industrielle DiamniadioÀ propos de ACFIACFI est une entreprise spécialisée dans la conception, fabrication et installation d’équipements industriels, notamment dans les secteurs des engrais, du convoyage et des procédés mécaniques.Nous développons des solutions adaptées aux réalités du terrain, avec une forte orientation production, robustesse et efficacité opérationnelle.Poste : Responsable AtelierACFI recrute un Responsable Atelier chargé de piloter la fabrication mécanique et d’assurer le respect des délais, qualité et productivité.Missions principales :•	Organisation et supervision de l’atelier (soudure, assemblage, fabrication)•	Planification de la production selon les projets•	Gestion des équipes (soudeurs, monteurs, techniciens)•	Contrôle qualité des fabrications•	Appui à la conception (CAO)•	Lecture et validation des plans•	Suivi des délais et optimisation des ressources•	Gestion des besoins en matériel et consommablesProfil recherché :•	Technicien confirmé ou Ingénieur en mécanique•	Expérience solide en fabrication métallique / mécanique•	Maîtrise de la lecture de plans (obligatoire)•	Compétences obligatoires en CAO (SolidWorks, Inventor ou équivalent)•	Bonne connaissance des procédés de fabrication (soudure, découpe, assemblage)•	Expérience en gestion d’équipe atelier•	Expérience en fabrication de machines agricoles (un atout)Qualités attendues :•	Leadership terrain•	Rigueur et sens de l’organisation•	Réactivité et capacité à gérer la pression•	Esprit pratique et orienté résultatsConditions :•	Type de contrat : (à définir)•	Rémunération : selon profil",N/A,https://senjob.com/sn/jobseekers/responsable-atelier-mécanique_e_161401.html
Coordinateur Pays (H/F),N/A,Dakar,"Direction générale, Management | Organisation non gouvernementale, Association",2026-04-16,2026-05-01,"ContexteAu sein de l’antenne située à Dakar, au Sénégal Pôle Opérations, le/la Coordinateur·trice PaysAu sein du pôle des Opérations, sous la supervision du/de la Responsable Desk, le/la Coordinateur.trice pays est chargé.e de représenter LIFE et développer ses programmes dans les pays dont il/elle a la responsabilité. Il./Elle a pour mission de coordonner les projets du Desk en collaboration avec les équipes internes et les partenaires dans les pays d’interventionMissions principales1. Développement et mise en œuvre de la stratégie pays•	Analyser le contexte socio-économique et géopolitique des pays d’intervention•	Identifier les acteurs de développement et les mécanismes de coordination existants•	Élaborer la stratégie pays et les plans d’actions annuels•	Identifier les opportunités de financement•	Mettre en place une veille stratégique (analyse PESTEL)•	Renforcer les capacités des partenaires locaux•	Représenter LIFE lors d’événements nationaux et internationaux2. Gestion du cycle de projet•	Co-construire les propositions de projets avec les parties prenantes•	Rédiger et diffuser les appels à projets et à partenariats•	Analyser les propositions reçues•	Assurer le suivi des projets via les outils internes•	Mettre en place des dispositifs MEAL (suivi, évaluation, redevabilité)•	Définir et suivre les stratégies de gestion des risques•	Réaliser des missions terrain (pré-projet, suivi, évaluation)•	Rédiger les rapports (suivi, évaluation, audit, campagnes, etc.3. Coordination et communication interne•	Faciliter la communication entre les équipes•	Organiser et diffuser l’information via les outils internes•	Planifier et coordonner les missions terrainProfil recherché•	Titulaire d’une formation supérieure en gestion de projet, sciences politiques, sciences sociales, relations internationales ou dans un domaine équivalent, vous justifiez d’une expérience d’au moins 2 ans en gestion de projet.•	Une expérience à l’international constitue un atout, tout comme une connaissance du secteur humanitaire et des dispositifs MEAL.Vous disposez des compétences suivantes :•	Maîtrise du cycle de gestion de projet•	Bonne maîtrise des outils informatiques et logiciels de suivi de projet•	Excellentes capacités d’analyse et de synthèse•	Solides compétences rédactionnelles•	Maîtrise professionnelle de l’anglais indispensable•	La maîtrise de l’arabe est fortement appréciée•	La maîtrise de l’espagnol constitue un plusVous vous distinguez également par :•	Votre autonomie, votre rigueur et votre réactivité•	Votre capacité à travailler aussi bien en équipe qu’en autonomie•	Votre aisance dans un environnement de travail à distance•	Votre sensibilité pour le secteur associatif et les enjeux de solidarité internationale•	Informations contractuellesModalités•	Type de contrat : CDI•	Date de démarrage : Dès que possible•	Localisation : poste basé à Dakar, au Sénégal avec déplacements terrain réguliers•	Zone d’intervention : À définir selon les pays suivis",N/A,https://senjob.com/sn/jobseekers/coordinateur-pays--h-f-_e_161400.html
Professeur Français Orphelinat,N/A,Dakar,"Éducation, Enseignement | Enseignement, Formation",2026-04-16,2026-05-01,"Nous recherchons un professeur de français expérimenté capable d’enseigner aussi les matières générales auprès des enfants au sein d’un orphelinat de la place.Nous proposons un contrat de 14H à 18H de lundi au vendredi, à savoir 20H de travail par semaine.Salaire : 100 000 FCFAVous devrez justifier d’au moins 3 ans d’expérience pleine dans l’enseignement ainsi que d’un diplôme minimum de type : licence ou autorisation d’enseigner.",N/A,https://senjob.com/sn/jobseekers/professeur-français-orphelinat_e_161399.html
Commerciaux Physiques,N/A,Dakar,"Commercial, Vente, Business developpement | Distribution, Commerce, Import-Export",2026-04-16,2026-05-01,"Dans le cadre de notre expansion, Santé Plus Sénégal plateforme de protection sociale recrute des commerciaux terrains dynamiquesMissions•	Prospecter activement sur le terrain•	Présenter et vendre les cartes Werouway•	Sensibiliser les populations à l’importance de la protection sociale•	Acquérir de nouveaux clients•	Atteindre et dépasser les objectifs de vente journaliers /mensuelsProfil recherché•	Bac / Bac + 2 en marketing, force supplétive de vente•	Expérience commerciale souhaitée (terrain, vente directe, assurance…)•	Excellente capacité de communication et de persuasion•	Dynamique, autonome et orienté résultats•	Bonne présentation/posture et sens du relationnel•	Persévérance et discipline sur le terrain.Rémunérations et avantages•	Commissions rémunérées sous 48h (non plafonnées)•	Salaire de Base au prorata•	Primes de performance•	Possibilité d’évolution (superviseur, manager régional)•	Formation complète assurée•	Outils et accompagnement terrain fournis",N/A,https://senjob.com/sn/jobseekers/commerciaux-physiques_e_161398.html
Chargée de communication,N/A,Dakar,"Marketing, Communication | Communication, Marketing, Médias",2026-04-16,2026-05-01,"Recherche un  agent  de  développement  ou étudiante en gestion, tourisme, marketing , communication pour le mas des cocotiers, résidence d hôtes de prestige située à Toubab Dialaw.Mission : En étroite collaboration avec le responsable de l établissement, elle /il coordonnerait les activités de communication, des réservations, de prospection pour location de l espace ( mariage, anniversaire, baptêmes. evenemments professionnels) ainsi qu un suivi administratif et budgétaire.Taches :•	Communication sur réseaux sociaux.•	Gestion de l’ agenda des réservations et synchronisations des différentes plateformes ( booking, air and b, homexchange,…)•	Prospecter de nouvelles collaborations.•	Centraliser le matériel de communication : photos, vidéo, textes,•	Création et gestion du site internet.Description Profil :•	Connaissance du secteur tourisme sénégalais.•	Connaissance des réseaux sociaux.•	Connaissance des différentes plateformes de réservation hôtelière.•	Techniques de communication adaptés au public cible.•	Maîtrise des outils bureautiques ( word, traitement image)Aptitudes personnellesDynamique, proactif, autonome, tres bonne aptitude relationnelle. d’ organisation, de coopération, de creativite.Conditions•	Temps : de 4h a 8H par semaines ;•	Renumération : Commission sur réservations abouties ET offre de nuitée au mas des cocotiers",N/A,https://senjob.com/sn/jobseekers/chargée-de-communication_e_161397.html
