titre,entreprise,ville,contrat,date_publication,categorie,description,lien
Commercial(e) Sénior Agroalimentaire,E.B.S,"Dakar, Sénégal",CDD,2026-04-17,N/A,"Dans le cadre du développement de ses activités et de son ambition de contribuer durablement à la souveraineté alimentaire, une entreprise de la place recrute un(e) Commercial(e) Senior en agroalimentaire pour accompagner la structuration et la croissance de ses marchés.À travers ses initiatives, l’entreprise œuvre au développement de chaînes de valeur performantes, à la modernisation des exploitations agricoles et à la mise en marché de produits agricoles compétitifs, répondant aux exigences locales et internationales.En tant que Commercial(e) Senior, vous jouerez un rôle clé dans :le développement et la gestion d’un portefeuille clients (B2B, distributeurs, partenaires stratégiques)la définition et le déploiement de la stratégie commercialel’identification et la conquête de nouvelles opportunités de marchéla valorisation des produits issus des filières agricoles localesla contribution à la croissance durable des activités agroalimentairesVeuillez envoyer votre candidature à l’adresseagenceebs@outlook.fr",https://www.emploidakar.com/offre-demploi/e-b-s-dakar-cdd-cdi-commerciale-senior-agroalimentaire/
Electricien,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Sindia, Thiès",CDD,2026-04-16,N/A,"Mission principaleL’électricien installe, entretient et répare les systèmes électriques afin d’assurer leur bon fonctionnement et la sécurité des installations.Activités principalesInstaller les équipements électriquesLire et interpréter les plans et schémas électriquesAssurer la maintenance préventive et correctiveDiagnostiquer les pannes et effectuer les réparationsMettre en conformité les installations selon les normes en vigueurTester et vérifier les installations électriquesCompétences requisesMaîtrise des installations électriques basse et/ou haute tensionLecture de plans et schémas techniquesConnaissance des normes de sécurité électriqueCapacité à utiliser les outils de mesure (multimètre, testeur, etc.)Esprit d’analyse et de diagnosticQualités personnellesRigueur et précisionSens des responsabilitésAutonomieRéactivitéBonne condition physiqueFormationCAP / BEP / Bac professionnel en électricité ou électrotechnique",https://www.emploidakar.com/offre-demploi/sunda-international-sindia-thies-cdd-electricien/
Mécanicien,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Sindia, Thiès",CDD,2026-04-16,N/A,"Sunda international recrute un Mécanicien poste basé à SINDIA dans la région de Thiès.Missions et responsabilitésInspecter les systèmes et les composants mécaniques pour détecter les problèmes et déterminer les solutions appropriées.Utiliser des outils de diagnostic et des machines à mesurer pour vérifier le fonctionnement des systèmes mécaniques.Réparer ou remplacer les pièces défectueuses et les composants mécaniques.Démonter, dégager et réassembler les pièces mécaniques.Lire et interpréter les plans et les dessins techniques.Faire fonctionner les systèmes mécaniques pour tester leurs performances.Entretenir et réparer les systèmes mécaniques.Utiliser des systèmes informatiques pour effectuer des réparations et des analyses.Maintenir et améliorer les systèmes mécaniques.Assurer la sécurité des employés et des clients.Qualités et compétencesBTS / CAP/ BAC Mécanique / Maintenance des équipements industriels / ElectromécaniqueAvoir au moins 6 mois d’expérience en industrie.Bonne connaissance des matériaux et des techniques de fabricationComprendre les schémas techniques et les plans de fabricationMaîtriser les outils et machines de fabricationMaitriser les normes et procédures de sécuritéBonne capacité d’analyse et de résolution de problèmesBonne capacité d’adaptationSens de l’initiative et de la responsabilitéAptitude au travail en équipeIntérêt pour les technologies et la mécaniqueBonne présentation et communication.",https://www.emploidakar.com/offre-demploi/sunda-international-sindia-thies-cdd-mecanicien/
Superviseur commercial expérimenté dans le domaine FMCG,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Dakar, Sénégal",CDD,2026-04-16,N/A,"Objectif du posteMaximiser l’atteinte des objectifs de performance et constituer un moteur clé de la croissance durable de l’entreprise.Gestion des clients et exécution commercialeAssurer le suivi et la réalisation des objectifs de performance individuels de l’équipe.Être responsable des ventes quotidiennes, de la gestion des commandes et du recouvrement des créances clients dans les canaux de distribution de gros de la zone attribuée.Mettre en œuvre un plan de visites clients régulières, maintenir et renforcer les relations clients, et améliorer la satisfaction ainsi que la fidélité des clients.Veille marché et analyse de la concurrenceCollecter et analyser de manière systématique les informations sur les dynamiques du marché et les actions des concurrents, et assurer un retour d’information rapide.Formuler des recommandations pertinentes sur la base des analyses du marché.Piloter les plans d’actions et garantir leur mise en œuvre efficace afin de consolider et d’élargir la part de marché.Gestion des clients stratégiquesAssurer un suivi approfondi des principaux clients grossistes et des points de vente clés de la zone.Entretenir des relations stratégiques et résoudre les problématiques commerciales majeures.Profil requisNiveau d’études : Licence (Bac+3) minimumExpérience professionnelleAu moins 3 ans d’expérience en venteExpérience dans le secteur des biens de grande consommation (FMCG), notamment dans les canaux de gros ou le commerce traditionnelCompétences linguistiquesMaîtrise du français et des langues locales pour les échanges professionnelsCompétences techniquesBonne maîtrise des outils bureautiques Microsoft Office et des outils d’analyse de donnéesAtouts appréciésExpérience professionnelle au sein d’entreprises FMCG locales.",https://www.emploidakar.com/offre-demploi/sunda-international-dakar-senegal-cdd-superviseur-commercial-experimente-dans-le-domaine-fmcg/
Volontaires,Mercy Sénégal,"Pikine, Dakar",Prestation de Services,2026-04-16,N/A,"Mercy Sénégal, centre socioculturel pour encadrer les enfants de familles démunies cherche volontaires pour nous aider dans nos activités.Contact : smolbiggi@gmail.com",https://www.emploidakar.com/offre-demploi/mercy-senegal-pikine-prestation-de-services-centre-pour-les-enfants-cherche-volontaire/
Responsable Lots Techniques,Top Work,"Dakar, Sénégal",CDD,2026-04-16,N/A,"Pour le compte d’un de nos clients, acteur mondial reconnu dans les projets d’infrastructures, des projets immobiliers complexes, nous recrutons : Responsable des Lots TechniquesResponsabilitésExaminez les exigences contractuelles et définissez les critères d’interface et d’acceptation pour toutes les œuvres MEP.Coordonnez tous les travaux mécaniques, électriques, de plomberie, de drainage et de relevage en accord avec les activités civiles et structurelles.Inspecter les travaux en cours du MEP et surveiller les activités de test et de mise en service afin d’assurer la conformité aux exigences approuvées.Faites régulièrement rapport au chef de projet et au responsable de la construction des progrès, des problèmes, des changements, des risques et des activités quotidiennes sur le chantier.ProfilLicence (BSc) en génie mécanique ou génie électrique.15 ans d’expérience en coordination MEP dans des projets de construction à grande échelle.Bonne compréhension des processus de test, de mise en service et de transfert MEP.Pour postuler, merci d’envoyer votre CV à :cv@topwork.snen précisant en objet l’intitulé du poste.",https://www.emploidakar.com/offre-demploi/top-work-dakar-senegal-cdd-cdi-responsable-lots-techniques/
Chef cuisinier,Sen Intérim,"Dakar, Sénégal",CDD,2026-04-16,N/A,Nous recrutons un chef cuisinier qui habite à Dakar.Missions :Élaborer des menus adaptés aux habitudes localesSuperviser la production culinaireEncadrer et former une équipeGérer les approvisionnements et les stocks –Suivre les coûts et optimiser les budgetsGarantir le respect des normes HACCPProfil recherchéFormation en cuisine (CAP à BTS) avec  5 ans d’expérience minimumExpérience en managementMaîtrise des normes HACCPCandidature Envoyer CV + lettre de motivation à l’adresserecrutement@seninterim.sn,https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-chef-cuisinier/
Caissier,Sen Intérim,"Touba, Sénégal",CDD,2026-04-16,N/A,"Nous recrutons un caissier qui habite à Touba.Missions :Accueil : Accueillir les clients avec courtoisie, renseigner et orienter.Gestion de Caisse : Vérifier le fond de caisse avant, pendant et à la fermeture.Compétences et QualitésMaîtrise des techniques de vente et des outils informatiques/caisses.Grande capacité de concentration et de vigilance.Excellent sens du relationnel et du service client.Rapidité d’exécution et résistance à la pression.Candidature EnvoyerCV+ lettre de motivation à l’adresserecrutement@seninterim.sn",https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-caissier/
04 Menuisiers,AMD Corporate,"Dakar, Sénégal",CDD,2026-04-16,N/A,"AMD Corporate recrute pour le compte de l’un de ses clients et vous offre l’opportunité de rejoindre une équipe dynamique et engagée.Vous êtes motivé(e), rigoureux (se) et prêt(e) à relever de nouveaux défis ? Cette opportunité est faite pour vous !Envoyez votreCVdès maintenant à :cv@amdcorporate.net",https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-04-menuisiers/
15 Monteurs chapiteaux,AMD Corporate,"Dakar, Sénégal",CDD,2026-04-16,N/A,"AMD Corporate recrute pour le compte de l’un de ses clients et vous offre l’opportunité de rejoindre une équipe dynamique et engagée.Vous êtes motivé(e), rigoureux (se) et prêt(e) à relever de nouveaux défis ? Cette opportunité est faite pour vous !Envoyez votreCVdès maintenant à :cv@amdcorporate.net",https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-15-monteurs-chapiteaux/
04 Agents de climatisation,AMD Corporate,"Dakar, Sénégal",CDD,2026-04-16,N/A,"AMD Corporate recrute pour le compte de l’un de ses clients et vous offre l’opportunité de rejoindre une équipe dynamique et engagée.Vous êtes motivé(e), rigoureux (se) et prêt(e) à relever de nouveaux défis ? Cette opportunité est faite pour vous !Envoyez votreCVdès maintenant à :cv@amdcorporate.net",https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-04-agents-de-climatisation/
Assistant aux opérations financières,Ria Money Transfer,"Dakar, Sénégal",CDD,2026-04-16,N/A,"A Finance Operations Clerk is primarily responsible for posting various financial transactions to the general ledger and reconciling accounts.  In addition, the Finance Operations Clerk will prepare various reports by codifying and cleaning data reports to then post these Journal Entries into the system.  This position will also be required to assist with different Finance Operations tasks from time to time.Expectations:Self-drivenPossess a desire to learn and be challengedMaintain a positive attitude and be able to adapt to changesStrong work ethic and detail oriented.Job Duties:Posting Financial Transactions to the general ledgersValidate Deposits images based on provided guidelines and provide provisional ad hocsObtain documentation to support the posting of financial transactionsPrepare various posting reports as requiredCross train on other accounting duties and provide backup to all team functionsSupport special projects as assignedJob RequirementsKnowledge:Bachelor’s degree in accounting or 1+ years accounting experience is requiredMust understand how to use a general ledgerUnderstanding banking processes is a plusSkills:Excellent verbal and written communication skillsStrong time management skills with the ability to multi-taskMust be detail orientedDemonstrated proficiency in Word and Excel 80% or higherAbility to interact with all levels of employees within the CompanyAbility to quickly learn new systemsBilingual – English/SpanishExperiences:1+ years of experience in financial accounting as well as a good level of expertise inMicrosoft Excelin creating Pivot Table, Dashboards and Scorecards, working with Formulas etc. its required",https://www.emploidakar.com/offre-demploi/ria-money-transfer-dakar-senegal-cdd-cdi-assistant-aux-operations-financieres/
Support Quality & Training Lead,Wave,"Dakar, Sénégal",CDI,2026-04-16,N/A,"We’re making Africa the first cashless continent.In 2017, over half the population in Sub-Saharan Africa had no bank account. That’s for good reason—the fees are too high, the closest branch can be miles away, and nobody takes cards. Without access to financial institutions, people are forced to keep their savings under the mattress. Small business owners rely on lenders who charge extortionate rates. Parents spend hours waiting in line to pay school fees in cash.We’re solving this by building financial services that just work: no account fees, instantly available, and accepted everywhere. In places where electricity, water and roads don’t always work, you can still send money with Wave. In 2017, we launched a mobile app in Senegal for cash deposit, withdrawal, and peer-to-peer and business payments. Now, we have millions of users across 9 countries and are growing fast.Our goal is to make Africa the first cashless continent and that’s where you come in…How you’ll help us achieve itAre you passionate about developing people with an obsession to offer world-class customer experience? We are going through a fascinating period of growth in the Customer Support team and are looking for a Support Quality & Training Lead to join our thrilling journey ahead.You will be responsible for managing a team of more than 15 Support Quality & Training Officers, focusing on the Customer Service department processes. Your goal is to ensure that all customer contacts align with our values and deliver the best customer experience.In this role, you’ll:Manage and update knowledge management systems in line with quality standards, protocols, product, and process changes.Document and provide guidance on new and existing processes and standards within the Customer Service department.Create and deliver training materials, ensuring materials are recorded and accessible.Develop analytical reports linking quality performance with customer satisfaction, complementing regular reporting and sharing insights with relevant managers.Collaborate across departments for projects and training initiatives.Execute the Quality Framework alongside Quality & Training Officers, ensuring quality results meet expectations.Lead, support, guide, and develop the Quality & Training Officers reporting to you.Key detailsLocation: Dakar.Contract type: Permanent.Work authorization in Senegal is required.Our salaries are competitive and calculated using a transparent formula. We run performance reviews twice a year and award bonuses to strong performers who have been with the company for more than 6 months.We offer generous health insurance for yourself and your dependents.We support working parents – we offer generous parental leave policies (26 weeks for mothers and 4 weeks for fathers) and subsidized child care when you return to work.We help you live your fullest life now! We subsidize gym memberships and fitness classes.Airtime reimbursement.Free food and a beautiful office space.RequirementsFluency in French and English.A Bachelor’s degree.5 years of experience in customer service or call centre operations, with at least 3 years of experience in a leadership coaching position.Strong knowledge of customer service processes.You might be a good fit if youYou can discern priority tasks.Demonstrate tenacity and a willingness to go the distance to get something done.Are comfortable defaulting to over-communication and overreaching in coordination.Are excessively detail-oriented and seek to achieve excellence in everything you do.Are client-oriented and have strong interpersonal skills.Ability to schedule training sessions via Zoom or Google Meet tools.Are a diplomatic speaker.Have a teamwork spirit.Are available every day of the week, including weekends, if necessary.You have significant experience training large teams.",https://www.emploidakar.com/offre-demploi/wave-dakar-senegal-cdi-support-quality-training-lead/
36 Agents Distributeurs,Sama Mbey (myAgro),Sénégal,Prestation de Services,2026-04-16,N/A,"Réf : TDR 005.AD/SAMA MBEY/2026A propos de nous :Sama Mbey SUARLest une entreprise sociale évoluant dans le domaine agricole. Nous intervenons dans de nombreuses régions du Sénégal. Sama Mbey vise à améliorer les conditions de vie des petits producteurs en milieu rural et veut les aider à sortir de la pauvreté. Chez SamaMbey les petits agriculteurs peuvent se financer s’ils ont le bon outil pour payer petit à petit en avance pour les intrants.Notre vision et objectif à travers notre Étoile polaire sont de travailler avec 1 million de petits producteurs à l’horizon 2026.En plus, SamaMbey Suarl s’engage dans le domaine du développement communautaire en menant des actions de sensibilisation en nutrition, santé et hygiène.Localisation :La prestation se déroulera enmilieu rural, dans les zones d’intervention de Sama Mbey, réparties sur trois régions administratives du Sénégal :Matam, Bakel, Hamady Ounare, ThilogneKolda, Dabo, Bourocco,Kounkane, Médina Yoro Foula, Tanaff, VélingaraSédhiou, Ziguinchor Bignona, Bounkiling, Diattacounda, Marsassoum, Médina WandifaNombre de postes :36ConditionsRémunération prévue : 110 000 FCFA brutTransport : 50 000 FCFAType de contrat : Prestation de serviceRôles  et responsabilitésLes agents Distributeur auront pour missions :1. Vente & mobilisationDéveloppement commercialAssister l’équipe de vente dans l’atteinte des objectifs de paquets finisRéviser l’outil « Constitution de paquet 2026 » pour le maîtriserOrganiser les intrants selon l’outil de déchargement/chargementPréparer des lots de paquets en avanceAssister à la formation distributeur organisée par le FC de la zoneExpliquer le contenu de chaque paquet au clientS’assurer que chaque client confirme avoir reçu 100 % des éléments inclus dans son paquet livréOrganiser les intrants restants pour assurer le chargement rapide du camionAppuyer le chargement des intrants restantsProspecter activement de nouveaux clients et fidéliser les producteurs existants2. Livraison & suivi logistiqueGestion opérationnelle des livraisonsÊtre présent sur le site de livraison du début à la clôture.Remplir les bordereaux de livraison.Effectuer le décompte des paquets en début et fin de journée, et reporter les chiffres sur le bordereau.Cette liste n’est pas exhaustive, ces activités peuvent être adaptées aux besoins spécifiques de Sama Mbey, ainsi qu’aux objectifs et ressources disponiblesCompétences requises1. Savoir-faire (Compétences techniques)Expérience en vente et mobilisation communautaire en milieu rural.Maîtrise des outils de reporting (Excel, logiciels de suivi comme Express).Capacité à gérer des opérations logistiques (décomptes, bordereaux).Connaissance du secteur av (un atout).2. Savoir-être (Qualités personnelles)Force de persuasion : Capacité à convaincre les producteurs et motiver les VEs.Rigueur et organisation : Respect strict des procédures de livraison et de reporting.Autonomie et réactivité : Capacité à travailler en zone rurale avec des contraintes logistiques.Esprit d’équipe : Collaboration étroite avec les VEs et le staff Sama Mbey.Autres compétences souhaitées:Flexible : Sama Mbey est une organisation en pleine croissance qui se caractérise par des changements réguliers;Humble : la personne est capable de partager ses connaissances tout en étant à l’écoute des défis des producteurs;Efficace et proactif: la personne sait faire preuve d’autonomie et de créativité afin d’organiser ses activités;Orienté vers l’action : la personne sait analyser les données et interpréter les chiffres afin de proposer et de développer des actions;Ouvert aux retours constructifs.Le candidat idéal doit:Avoir    une    expérience    professionnelle    antérieure    dans    le    domaine    du coaching/développement des compétences;Être originaire de la zone pour laquelle il postule (myAgro recrute à travers plusieurszones);Profil recherchéMinimum niveau Bac avec une expérience probante en agronomie, en développement communautaire ou dans un autre domaine connexe;1an d’expérience prouvée et vérifiée en tant que agent de terrain;Capacité à se focaliser sur l’atteinte des résultats;Excellentes compétences en communication et en travail d’équipe,Maîtrise orale et écrite, en français et wolof, mandingue, poular (selon la zone)La connaissance d’autres langues locales est considérée un atoutMaîtrise de l’outil informatiqueSama Mbeyest un employeur garantissant l’égalité des chances. Nous célébrons la diversité et nous nous engageons à créer un espace inclusif permettant à tous les employés de se sentir valorisés pour leurs compétences, leurs expériences et leur point de vue unique. Sama Mbey offre des opportunités d’emploi égales à tous les employés et candidats sans distinction de race, de couleur, de religion, d’orientation sexuelle, de statut matrimonial/parental, d’origine nationale, d’âge, de handicap, d’opinion politique, de statut social, de statut d’ancien combattant, de génétique ou de toute autre base protégée par la loi applicable.Si vous croyez être la personne que nous recherchons, merci de remplir le formulaire suivant :LienDernier délai : 30 avril 2026 à 17H 30mnN.B. :Seul(e)s les candidat/es présélectionné/es seront contacté(e)s pour les prochaines étapes.Les dossiers de candidatures jugés incomplets ou non conformes au profil recherché ne seront pas examinés.Sama Mbey se réserve le droit de traiter les candidatures progressivement et d’écourter la durée de l’offre dès qu’il aura trouvé le/la candidat(e) idéal (e).Sama Mbey se réserve le droit de demander les copies légalisées des diplômes et attestations ou certificats de travail, le casier judiciaire, la pièce d’identité et le certificat d’aptitude médicale du/de la candidat (e) retenu(e).« Les candidatures féminines sont fortement encouragées ».NB:Merci de postuler uniquement pour votre  zone de résidence car le logement est à la charge du distributeur.",https://www.emploidakar.com/offre-demploi/sama-mbey-myagro-senegal-prestation-de-services-36-agents-distributeurs/
Assistante Direction,Une entreprise de la place,"Centre ville, Dakar",CDD,2026-04-16,N/A,"Dans le cadre du renforcement de notre équipe, nous recrutons une Assistante de Direction.Missions principales :Assurer la coordination entre les différents servicesGérer l’agenda et les priorités de la directionOrganiser les réunions et assurer le suivi des dossiersRédiger des comptes rendus et documents administratifsFaciliter la communication interne et externeProfil recherché :Minimum 5 ans d’expérience à un poste similaireExcellentes capacités organisationnelles et de coordinationTrès bonne maîtrise des outils bureautiquesExcellente maîtrise du français, à l’oral comme à l’écrit (élocution irréprochable)Sens de la discrétion, rigueur et professionnalismeQualités requises :AutonomieRéactivitéBon relationnelPour postuler : merci d’envoyer votre CV àmedipartfatoumata@gmail.com",https://www.emploidakar.com/offre-demploi/une-entreprise-de-la-place-centre-ville-cdd-assistante-direction/
Télévendeurs en conquête mobile/marché français,"SHY Performance SénégalYour Call, Our All!","Mermoz Ancienne Piste, Dakar",CDD,2026-04-16,N/A,"Désormais solidement implanté au Sénégal, Shy-Performance, afin de consolider son effectif et passer à d’autres projets, recrute les profils avec:Une expérience en télévente (appels sortants – au moins 6 mois dans la conquête)Une parfaite maîtrise de la langue française, avec une bonne capacité communicationnelle et d’écoute activeUne bonne maitrise des techniques de vente et de traitement des objections?Un goût du challenge et du dépassement des défisUne bonne capacité à travailler en équipeVous bénéficierez entre autres:D’un CDD d’emblée! Pas de prestation de services à SHY PerformanceD’un salaire TRES attractif et compétitif!D’une perspective d’évolution priorisée en interne!!!D’une prime de performance déplafonnée!!!!Sans compter une couverture maladie pour vous et vos proches à hauteur de 80% même durant votre période de formation!!!!!Alors, vous attendez quoi?Envoyez de suite vosCVà l’adresserecrutement.sn@shy-performance.comavec en objet, la mention « Télévendeurs-Mobile» et rejoignez la structure qui révolutionne la carrière en centre d’appel au Sénégal!Nous vous attendons…",https://www.emploidakar.com/offre-demploi/televendeurs-en-conquete-mobile-marche-francais/
Community Manager / Infographiste,AMD Corporate,"Dakar, Sénégal",CDD,2026-04-16,N/A,AMD Corporate recrute un Community Manager / Infographiste.Veuillez envoyer votre CV àcv@amdcorporate.neten mentionnant le titre du poste en objet de votre mail.,https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-community-manager-infographiste/
Stagiaire infographe,Kpay,"Dakar, Sénégal",Stage,2026-04-16,N/A,"Kpay recrute un(e) stagiaire infographe !Tu es créatif(ve), rigoureux(se) et passionné(e) par le design ?Rejoins notre équipe et travaille sur des projets concrets (cartes PVC, supports visuels, branding…).Envoie ton CV + portfolio à :recrutement@quickpay.snPortfolio obligatoire",https://www.emploidakar.com/offre-demploi/kpay-dakar-senegal-stage-stagiaire-infographe/
Commercial – Markerting,AFRIOCEAN SARL,"Diamniadio, Sénégal",CDD,2026-04-16,N/A,"Dans le cadre du développement de ses activités, La société AFRIOCEAN SARL spécialisée dans transformation et l’exportation des produits halieutique, recrute un commercial marketing.Missions :Développer la présence des produits en grande distribution (supermarchés, supérettes)Prospecter et intégrer de nouveaux points de vente dans les réseaux traditionnels (boutiques, marchés, revendeurs)Assurer le suivi des clients et fidéliser le portefeuille existantNégocier les conditions commerciales et référencements produitsVeiller à la bonne visibilité des produits en rayon (merchandising)Suivre les ventes, remonter les informations terrain et proposer des actions d’amélioration.Profil recherché :Homme dynamique, rigoureuse et orientée résultatsExpérience en vente terrain, idéalement en agroalimentaire ou grande distributionTrès bon sens de la négociation et relationnel clientAutonome, organisée avec un esprit d’initiativeBonne connaissance des circuits de distribution à DakarConditions :BTS (bac+2) et/ou Licence (bac+3) en Marketing/Commerce/Gestion d’entreprise ou dans tout autre domaine similaire.2 à 4 ans d’expérience dans le domaineAvoir un permis de conduireVeuillez envoyer votre CV à l’adresseaimee.afriocean@gmail.com",https://www.emploidakar.com/offre-demploi/afriocean-sarl-km-0-5-route-de-sebiponty-diamniadio-dakar-senegal-cdd-commercial-marketing/
Conjoncturiste,BCEAO,"Dakar, Sénégal",CDI,2026-04-16,N/A,"MissionsChargé de la stratégie de la politique monétaire : Assurer la collecte et l’analyse des informations nécessaires à la définition de la politique monétaire par le Comité de Politique Monétaire.Chargé de la mise en œuvre de la politique monétaire : Assurer la collecte et l’analyse des données en vue de la formulation des propositions de mesures de régulation de la liquidité bancaire.Chargé du suivi des programmes économiques des Etats : Assurer le suivi des programmes économiques et financiers des Etats, en particulier le suivi de l’exécution des programmes économiques et financiers appuyés par les Institutions de Bretton Woods.Chargé des centrales d’information : Identifier et analyser les risques bancaires, à travers la gestion des centrales d’informations.Chargé des secteurs monétaire et finances publiques : Assurer la production et l’analyse des statistiques monétaires ainsi que celles des finances publiques et de la dette.Conjoncturiste : Suivre et analyser la conjoncture économique et les prix, en vue de réaliser des notes et études sur la situation et les perspectives économiques.Critères d’éligibilitéEtre ressortissant d’un Etat membre de l’UMOA ;Jouir de ses droits civiques et être de bonne moralité ;Etre âgé de 18 ans au moins et de 40 ans au plus.Profil requisÊtre titulaire d’un diplôme de niveau BAC+5 en Économie, Statistique ou Économétrie ;Avoir au minimum 2 ans d’expérience professionnelle pertinente dans des Structures privées, étatiques ou internationales, à des postes en lien avec le domaine de l’économie ou de la statistique.Pour postuler, les candidats doivent produire un curriculum vitae (CV) indiquant notamment :la date de naissance ;la nationalité ;les périodes exactes des expériences professionnelles (date début et date fin) ainsi qu’un résumé des activités prises en charge ;le type de contrat pour chaque expérience (CDD, CDI, Consultance, Stage, etc.) ;la liste de tous les diplômes y compris le Baccalauréat, en précisant la date d’obtention, l’établissement de formation et la spécialité de chaque diplôme.Après avoir téléchargé son CV, le candidat doit obligatoirement renseigner le questionnaire qui lui est automatiquement soumis.Date de clôture des candidatures : 27 avril 2026",https://www.emploidakar.com/offre-demploi/bcea-dakar-senegal-cdi-conjoncturiste/
Health and Safety Adviser,International Staffing Company,"Saint Louis, Senegal",CDD,2026-04-16,N/A,"Summary :To continuously monitor behaviour/actions against the Risk Assessment and Rules, and to apply “Educate to Improve” Internal Process to :Observe and challenge non-compliant behaviour (an “Incident”) in a positive mannerEducate staff on the required compliant behaviour (the “Rule”)Address non-compliant behaviour against the Risk Assessment and Rules.To report any observed behaviour that may result in harm that is not currently included in the Risk Assessment and Rules to both the Senior Managers and the Health and Safety Manager (an “Incident”) so that the Risk Assessment Rules can be updated and staff trained.To praise staff (a “Safe Observation”) who are observed complying with the Risk Assessment and Rules.Manage the working conditions of staff within both Senegalese law and company policyTo ensure compliance with the company safe working procedure and risk assessmentsTo provide advice to managers providing the technical information/solution has been agreed and confirmed with the Health and Safety Manager.Comply with Senegalese legislation and UK best practise in health and safetyObjectives :Achieve the highest standards of Health & Safety within all operationsTo complete operations in a timely, efficient manner and to program within our health and safety standardDrive Team Work and development,Communicate effectively with the team through safety conversationMaximise efficiency of resources by reducing the risk and minimize risks for accidentUpdate risk assessment and safe working procedures making sure all up to dateOther responsibilities :Lead by example to ensure good co-ordination and co-operation between teams around a strong and focussed health and safety cultureField inspection and checks on all business operations and ensure compliance with health and safety proceduresSupport an understanding and philosophy amongst staff in achievement of high standards of health and safety and working in a safe mannerDevelop good relations with the local community and show due regard for all staff issues",https://www.emploidakar.com/offre-demploi/international-staffing-company-saint-louis-senegal-cdd-health-and-safety-adviser/
Commis de Cuisine,GPF,"Dakar, Sénégal",CDD,2026-04-16,N/A,"Nous recrutons un commis de cuisine pour un groupe de deux restaurants bien établis et constituant des lieux emblématiques à Dakar. Il ou elle sera rattaché(e) au chef cuisinier.Missions :Sous la supervision du Chef de cuisine, vous serez en charge de :Assister à la préparation des plats dans le respect des standards de qualitéPréparer les ingrédients (lavage, découpe, pesée)Participer à la préparation de la pâte à pizzaGarnir les pizzas selon les recettes établiesParticiper à la mise en place (préparations, dressage, organisation du poste)Veiller au respect des recettes et des fiches techniquesContribuer au bon déroulement du service en cuisineAssurer la propreté et l’hygiène du poste de travailRespecter les normes d’hygiène et de sécurité alimentaireParticiper à la réception et au stockage des marchandisesAider au nettoyage avant et après le serviceProfil :Formation en cuisine (CAP / BEP ou équivalent souhaité)Expérience en tant que commis de cuisine exigéeExpérience en préparation de pizzas (pizzaiolo)Bonne connaissance des techniques culinaires de baseMaîtrise des normes d’hygiène et de sécurité alimentaireRapidité et efficacitéRigueur et sens de l’organisationEsprit d’équipeCapacité à travailler sous pressionDynamisme et motivation",https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdd-commis-de-cuisine/
